Date,Florida
2015-02-01,-0.7366670061445497
2015-03-01,0.1963259009956528
2015-04-01,1.3084580229136669
2015-05-01,-0.3863026255483533
2015-06-01,2.378627232142857
2015-07-01,2.4231698601232003
2015-08-01,2.289746543778802
2015-09-01,0.573019652152859
2015-10-01,0.9535116684599116
2015-11-01,3.4213029843909655
2015-12-01,4.540062201417166
2016-01-01,0.0818846056941295
2016-02-01,4.117647058823529
2016-03-01,-1.1224632610216934
2016-04-01,-2.0485724879495737
2016-05-01,-2.267648218745892
2016-06-01,-1.6931252980854399
2016-07-01,-1.8341917262003653
2016-08-01,-2.417992397578488
2016-09-01,-1.4484612606829035
2016-10-01,-1.7456817346563764
2016-11-01,-2.095257563368765
2016-12-01,-1.975157184480908
2017-01-01,-0.7300648247215055
2017-02-01,-4.700433582972014
2017-03-01,0.6652700713395991
2017-04-01,4.9178259360903445
2017-05-01,1.3047279574954602
2017-06-01,2.3425858543854177
2017-07-01,2.934705344751718
2017-08-01,3.7944093778178543
2017-09-01,1.229541568276199
2017-10-01,3.048438376659809
2017-11-01,1.7468768486620039
2017-12-01,0.8541660148305747
2018-01-01,23.397578139859256
2018-02-01,24.750973701444178
2018-03-01,22.388143648584045
2018-04-01,16.834034876728804
2018-05-01,25.044811790479983
2018-06-01,24.494633122270002
2018-07-01,23.919763235777705
2018-08-01,23.07050769711923
2018-09-01,28.844916344916342
2018-10-01,26.92196007259528
2018-11-01,25.356544341461746
2018-12-01,25.2373270459763
2019-01-01,4.017776864387186
2019-02-01,3.340332651820744
2019-03-01,5.257352941176471
2019-04-01,6.943050515967987
2019-05-01,4.178280374824135
2019-06-01,3.1305246552615116
2019-07-01,2.9083961362912643
2019-08-01,3.3995934041111364
2019-09-01,2.4503683356224246
2019-10-01,4.770211914090428
2019-11-01,6.635200392873708
2019-12-01,8.977185464093736
2020-01-01,6.050727322120965
2020-02-01,10.996444135497152
2020-03-01,4.381330771917568
2020-04-01,-47.51064802560339
2020-05-01,-70.42170977194547
2020-06-01,-56.52460572815022
2020-07-01,-35.17276946879835
2020-08-01,-39.56308028399781
2020-09-01,-46.70180677005576
2020-10-01,-41.01269278012829
2020-11-01,-30.469489574005372
2020-12-01,-31.77323665128543
2021-01-01,-32.68670967140961
2021-02-01,-33.42566721264091
